voteId,title,url,date,time,turnout,govWins,jacqui_lambie,glenn_lazarus,david_leyonhjelm,john_madigan,ricky_muir,nick_xenophon,dio_wang,bob_day
3407,Motions — Australian Animal Health Laboratory,https://theyvoteforyou.org.au/divisions/senate/2014-09-01/4,2014-09-01,3:39 PM,80.3,gov_loses,labor,labor,government,absent,labor,labor,labor,government
3411,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Business — Suspend standing orders (Consideration of legislation),https://theyvoteforyou.org.au/divisions/senate/2014-09-02/1,2014-09-02,1:07 PM,84.2,gov_wins,government,government,government,government,government,labor,government,government
3412,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Business — Consideration of Legislation,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/2,2014-09-02,1:11 PM,84.2,gov_wins,government,government,government,government,government,labor,government,government
3413,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Second Reading — Read a second time,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/3,2014-09-02,1:14 PM,84.2,gov_wins,government,government,government,government,government,labor,government,government
3414,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Reference to Committee — Refer to Committee,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/4,2014-09-02,1:44 PM,85.5,gov_wins,government,government,government,absent,government,labor,government,government
3415,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Reference to Committee — Adjustments to the changes made by the bill,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/5,2014-09-02,1:51 PM,85.5,gov_wins,government,government,government,absent,government,labor,government,government
3416,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Motions — Suspension of Standing Orders,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/6,2014-09-02,2:04 PM,90.8,gov_wins,government,government,government,absent,government,labor,government,government
3417,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Motions — Schedules 6 to 9,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/7,2014-09-02,2:14 PM,90.8,gov_wins,government,government,government,absent,government,labor,government,government
3418,Minerals Resource Rent Tax Repeal and Other Measures Bill 2014 — Third Reading — Read a third time,https://theyvoteforyou.org.au/divisions/senate/2014-09-02/8,2014-09-02,2:17 PM,90.8,gov_wins,government,government,government,absent,government,labor,government,government
3419,Bills — Social Security Legislation Amendment (Stronger Penalties for Serious Failures) Bill 2014; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2014-09-03/1,2014-09-03,11:56 AM,84.2,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3420,Bills — Migration Legislation Amendment Bill (No. 1) 2014; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2014-09-03/2,2014-09-03,12:45 PM,67.1,gov_wins,government,government,government,absent,government,government,government,government
3421,Motions — Asylum Seekers,https://theyvoteforyou.org.au/divisions/senate/2014-09-03/3,2014-09-03,,77.6,gov_loses,labor,labor,government,absent,labor,absent,labor,government
3425,Omnibus Repeal Day (Autumn 2014) Bill 2014 - in Committee - Independent study before grant of mining licences,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/1,2014-09-22,1:32 PM,64.5,gov_wins,greens,greens,absent,absent,greens,absent,greens,government
3426,Omnibus Repeal Day (Autumn 2014) Bill 2014 - in Committee - Independent study before grant of mining licences,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/2,2014-09-22,1:38 PM,61.8,gov_wins,greens,greens,absent,absent,government,absent,greens,government
3427,Matters of Urgency - Climate Change - Climate Change Summit and emissions reduction target,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/3,2014-09-22,5:14 PM,78.9,gov_wins,government,government,absent,government,government,absent,government,government
3428,Omnibus Repeal Day (Autumn 2014) Bill 2014 - in Committee - Interactive Gambling Act and ACMA,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/4,2014-09-22,6:08 PM,64.5,gov_wins,greens,greens,absent,greens,greens,greens,absent,greens
3429,Omnibus Repeal Day (Autumn 2014) Bill 2014 - Third Reading - Read a third time,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/5,2014-09-22,6:12 PM,63.2,gov_wins,greens,greens,absent,greens,greens,greens,absent,government
3430,Bills — Health Workforce Australia (Abolition) Bill 2014; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2014-09-22/6,2014-09-22,8:24 PM,78.9,gov_wins,government,government,government,government,government,government,absent,government
3431,Committees - Certain Aspects of the Queensland Government Select Committee - Let Senator Lazarus move his motion,https://theyvoteforyou.org.au/divisions/senate/2014-09-23/1,2014-09-23,4:21 PM,81.6,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3432,Committees — Certain Aspects of Queensland Government Administration — End debate on whether to debate the motion,https://theyvoteforyou.org.au/divisions/senate/2014-09-23/2,2014-09-23,5:35 PM,86.8,gov_loses,labor,labor,government,government,labor,government,labor,government
3433,Committees - Certain Aspects of Queensland Government Administration - Debate the motion,https://theyvoteforyou.org.au/divisions/senate/2014-09-23/3,2014-09-23,6:05 PM,81.6,gov_loses,labor,labor,government,government,labor,government,labor,government
